movement_id,product_id,type,quantity,old_quantity,new_quantity,unit_price,note,created_at
MOV00051,PROD0051,IMPORT,67,0,67,6000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-14
MOV00052,PROD0052,IMPORT,60,0,60,10000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-13
MOV00053,PROD0053,IMPORT,36,0,36,33000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-25
MOV00054,PROD0054,IMPORT,56,0,56,21000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-18
MOV00055,PROD0055,IMPORT,38,0,38,6000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-20
MOV00056,PROD0056,IMPORT,48,0,48,11000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-19
MOV00057,PROD0057,IMPORT,38,0,38,26000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-07-13
MOV00058,PROD0058,IMPORT,56,0,56,21000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-12
MOV00059,PROD0059,IMPORT,45,0,45,180000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-08
MOV00060,PROD0060,IMPORT,36,0,36,8000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-09
MOV00061,PROD0061,IMPORT,61,0,61,16000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-19
MOV00062,PROD0062,IMPORT,42,0,42,24000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-06
MOV00063,PROD0063,IMPORT,65,0,65,10000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-28
MOV00064,PROD0064,IMPORT,73,0,73,8000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-15
MOV00065,PROD0065,IMPORT,29,0,29,8000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-17
MOV00066,PROD0066,IMPORT,61,0,61,18000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-24
MOV00067,PROD0067,IMPORT,58,0,58,22000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-06
MOV00068,PROD0068,IMPORT,39,0,39,7000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-13
MOV00069,PROD0069,IMPORT,81,0,81,11000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-07
MOV00070,PROD0070,IMPORT,52,0,52,17000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-09
MOV00071,PROD0071,IMPORT,45,0,45,16000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-21
MOV00072,PROD0072,IMPORT,61,0,61,17000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-31
MOV00073,PROD0073,IMPORT,62,0,62,12000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-13
MOV00074,PROD0074,IMPORT,46,0,46,15000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-11-26
MOV00075,PROD0075,IMPORT,32,0,32,17000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-12
MOV00076,PROD0076,IMPORT,59,0,59,25000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-10
MOV00077,PROD0077,IMPORT,28,0,28,4000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-19
MOV00078,PROD0078,IMPORT,53,0,53,9000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-10-07
MOV00079,PROD0079,IMPORT,42,0,42,22000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-09-30
MOV00080,PROD0080,IMPORT,72,0,72,8000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-01
MOV00081,PROD0081,IMPORT,44,0,44,9000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-15
MOV00082,PROD0082,IMPORT,53,0,53,12000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-22
MOV00083,PROD0083,IMPORT,56,0,56,10000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-19
MOV00084,PROD0084,IMPORT,54,0,54,7000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-03
MOV00085,PROD0085,IMPORT,74,0,74,39000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-23
MOV00086,PROD0086,IMPORT,54,0,54,18000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-11-26
MOV00087,PROD0087,IMPORT,40,0,40,18000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-08
MOV00088,PROD0088,IMPORT,58,0,58,22000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-05
MOV00089,PROD0089,IMPORT,63,0,63,6000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-16
MOV00090,PROD0090,IMPORT,44,0,44,9000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-06
MOV00091,PROD0091,IMPORT,40,0,40,12000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-10-25
MOV00092,PROD0092,IMPORT,49,0,49,19000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-19
MOV00093,PROD0093,IMPORT,46,0,46,19000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-22
MOV00094,PROD0094,IMPORT,62,0,62,6000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-19
MOV00095,PROD0095,IMPORT,63,0,63,10000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-05
MOV00096,PROD0096,IMPORT,72,0,72,7000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-09-29
MOV00097,PROD0097,IMPORT,31,0,31,8000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-11-16
MOV00098,PROD0098,IMPORT,53,0,53,13000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-21
MOV00099,PROD0099,IMPORT,42,0,42,16000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-13
MOV00100,PROD0100,IMPORT,37,0,37,7000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-06
MOV00101,PROD0101,IMPORT,38,0,38,7000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-31
MOV00102,PROD0102,IMPORT,60,0,60,11000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-23
MOV00103,PROD0103,IMPORT,44,0,44,38000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-11-25
MOV00104,PROD0104,IMPORT,30,0,30,39000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-10-04
MOV00105,PROD0105,IMPORT,69,0,69,10000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-14
MOV00106,PROD0106,IMPORT,72,0,72,20000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-11-26
MOV00107,PROD0107,IMPORT,32,0,32,10000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-25
MOV00108,PROD0108,IMPORT,50,0,50,25000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-10-24
MOV00109,PROD0109,IMPORT,51,0,51,8000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-10-31
MOV00110,PROD0110,IMPORT,49,0,49,14000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-30
MOV00111,PROD0111,IMPORT,64,0,64,23000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-28
MOV00112,PROD0112,IMPORT,60,0,60,9000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-21
MOV00113,PROD0113,IMPORT,51,0,51,8000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-23
MOV00114,PROD0114,IMPORT,81,0,81,38000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-19
MOV00115,PROD0115,IMPORT,56,0,56,31000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-24
MOV00116,PROD0116,IMPORT,64,0,64,36000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-14
MOV00117,PROD0117,IMPORT,44,0,44,80000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-17
MOV00118,PROD0118,IMPORT,76,0,76,31000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-14
MOV00119,PROD0119,IMPORT,78,0,78,62000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-24
MOV00120,PROD0120,IMPORT,44,0,44,25000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-26
MOV00121,PROD0121,IMPORT,68,0,68,25000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-26
MOV00122,PROD0122,IMPORT,71,0,71,44000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-14
MOV00123,PROD0123,IMPORT,72,0,72,67000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-02
MOV00124,PROD0073,SALE,2,62,60,15000,Xuất kho bán hàng ORD00001,2025-01-01
MOV00125,PROD0003,SALE,2,50,48,20000,Xuất kho bán hàng ORD00001,2025-01-01
MOV00126,PROD0063,SALE,2,65,63,12000,Xuất kho bán hàng ORD00001,2025-01-01
MOV00127,PROD0108,SALE,1,50,49,30000,Xuất kho bán hàng ORD00002,2025-01-01
MOV00128,PROD0046,SALE,3,69,66,173000,Xuất kho bán hàng ORD00003,2025-01-01
MOV00129,PROD0121,SALE,3,68,65,35000,Xuất kho bán hàng ORD00003,2025-01-01
MOV00130,PROD0081,SALE,3,44,41,12000,Xuất kho bán hàng ORD00003,2025-01-01
MOV00131,PROD0101,SALE,1,38,37,10000,Xuất kho bán hàng ORD00004,2025-01-01
MOV00132,PROD0076,SALE,2,59,57,30000,Xuất kho bán hàng ORD00004,2025-01-01
MOV00133,PROD0070,SALE,3,52,49,22000,Xuất kho bán hàng ORD00004,2025-01-01
MOV00134,PROD0073,SALE,3,60,57,15000,Xuất kho bán hàng ORD00005,2025-01-02
MOV00135,PROD0044,SALE,3,73,70,25000,Xuất kho bán hàng ORD00005,2025-01-02
MOV00136,PROD0048,SALE,3,48,45,50000,Xuất kho bán hàng ORD00006,2025-01-02
MOV00137,PROD0026,SALE,2,44,42,5000,Xuất kho bán hàng ORD00006,2025-01-02
MOV00138,PROD0055,SALE,2,38,36,9000,Xuất kho bán hàng ORD00006,2025-01-02
MOV00139,PROD0076,SALE,2,57,55,30000,Xuất kho bán hàng ORD00007,2025-01-02
MOV00140,PROD0068,SALE,2,39,37,10000,Xuất kho bán hàng ORD00008,2025-01-02
MOV00141,PROD0003,SALE,2,48,46,20000,Xuất kho bán hàng ORD00008,2025-01-02
MOV00142,PROD0001,SALE,3,36,33,30000,Xuất kho bán hàng ORD00008,2025-01-02
MOV00143,PROD0036,SALE,3,45,42,35000,Xuất kho bán hàng ORD00008,2025-01-02
MOV00144,PROD0058,SALE,1,56,55,28000,Xuất kho bán hàng ORD00009,2025-01-02
MOV00145,PROD0034,SALE,1,74,73,20000,Xuất kho bán hàng ORD00010,2025-01-02
MOV00146,PROD0020,SALE,3,52,49,12000,Xuất kho bán hàng ORD00010,2025-01-02
MOV00147,PROD0031,SALE,3,92,89,35000,Xuất kho bán hàng ORD00010,2025-01-02
MOV00148,PROD0051,SALE,1,67,66,8000,Xuất kho bán hàng ORD00010,2025-01-02
MOV00149,PROD0033,SALE,1,62,61,15000,Xuất kho bán hàng ORD00011,2025-01-02
MOV00150,PROD0082,SALE,3,53,50,15000,Xuất kho bán hàng ORD00012,2025-01-03
MOV00151,PROD0105,SALE,1,69,68,12000,Xuất kho bán hàng ORD00012,2025-01-03
MOV00152,PROD0095,SALE,1,63,62,12000,Xuất kho bán hàng ORD00013,2025-01-03
MOV00153,PROD0120,SALE,1,44,43,30000,Xuất kho bán hàng ORD00013,2025-01-03
MOV00154,PROD0106,SALE,1,72,71,25000,Xuất kho bán hàng ORD00014,2025-01-03
MOV00155,PROD0074,SALE,2,46,44,18000,Xuất kho bán hàng ORD00014,2025-01-03
MOV00156,PROD0061,SALE,1,61,60,20000,Xuất kho bán hàng ORD00014,2025-01-03
MOV00157,PROD0105,SALE,1,68,67,12000,Xuất kho bán hàng ORD00014,2025-01-03
MOV00158,PROD0111,SALE,1,64,63,32000,Xuất kho bán hàng ORD00015,2025-01-03
MOV00159,PROD0004,SALE,2,60,58,17000,Xuất kho bán hàng ORD00015,2025-01-03
MOV00160,PROD0071,SALE,3,45,42,20000,Xuất kho bán hàng ORD00016,2025-01-03
MOV00161,PROD0043,SALE,2,71,69,18000,Xuất kho bán hàng ORD00017,2025-01-03
MOV00162,PROD0039,SALE,2,36,34,20000,Xuất kho bán hàng ORD00017,2025-01-03
MOV00163,PROD0047,SALE,3,80,77,22000,Xuất kho bán hàng ORD00018,2025-01-03
MOV00164,PROD0042,SALE,2,76,74,9000,Xuất kho bán hàng ORD00018,2025-01-03
MOV00165,PROD0119,SALE,2,78,76,75000,Xuất kho bán hàng ORD00019,2025-01-03
MOV00166,PROD0009,SALE,3,62,59,12000,Xuất kho bán hàng ORD00020,2025-01-04
MOV00167,PROD0105,SALE,1,67,66,12000,Xuất kho bán hàng ORD00020,2025-01-04
MOV00168,PROD0002,SALE,1,68,67,25000,Xuất kho bán hàng ORD00020,2025-01-04
MOV00169,PROD0032,SALE,3,68,65,35000,Xuất kho bán hàng ORD00020,2025-01-04
MOV00170,PROD0086,SALE,2,54,52,22000,Xuất kho bán hàng ORD00021,2025-01-04
MOV00171,PROD0023,SALE,2,68,66,25000,Xuất kho bán hàng ORD00022,2025-01-04
MOV00172,PROD0048,SALE,1,45,44,50000,Xuất kho bán hàng ORD00023,2025-01-04
MOV00173,PROD0004,SALE,2,58,56,17000,Xuất kho bán hàng ORD00023,2025-01-04
MOV00174,PROD0084,SALE,2,54,52,9000,Xuất kho bán hàng ORD00024,2025-01-05
MOV00175,PROD0093,SALE,1,46,45,24000,Xuất kho bán hàng ORD00024,2025-01-05
MOV00176,PROD0117,SALE,2,44,42,100000,Xuất kho bán hàng ORD00024,2025-01-05
MOV00177,PROD0119,SALE,2,76,74,75000,Xuất kho bán hàng ORD00025,2025-01-05
MOV00178,PROD0018,SALE,3,59,56,125000,Xuất kho bán hàng ORD00025,2025-01-05
MOV00179,PROD0093,SALE,1,45,44,24000,Xuất kho bán hàng ORD00025,2025-01-05
MOV00180,PROD0003,SALE,3,46,43,20000,Xuất kho bán hàng ORD00025,2025-01-05
MOV00181,PROD0068,SALE,3,37,34,10000,Xuất kho bán hàng ORD00026,2025-01-05
MOV00182,PROD0067,SALE,2,58,56,30000,Xuất kho bán hàng ORD00026,2025-01-05
MOV00183,PROD0054,SALE,2,56,54,25000,Xuất kho bán hàng ORD00026,2025-01-05
MOV00184,PROD0043,SALE,1,69,68,18000,Xuất kho bán hàng ORD00027,2025-01-05
MOV00185,PROD0078,SALE,1,53,52,12000,Xuất kho bán hàng ORD00028,2025-01-05
MOV00186,PROD0121,SALE,2,65,63,35000,Xuất kho bán hàng ORD00028,2025-01-05
MOV00187,PROD0017,SALE,2,59,57,50000,Xuất kho bán hàng ORD00028,2025-01-05
MOV00188,PROD0032,SALE,3,65,62,35000,Xuất kho bán hàng ORD00028,2025-01-05
MOV00189,PROD0027,SALE,2,50,48,12000,Xuất kho bán hàng ORD00029,2025-01-05
MOV00190,PROD0113,SALE,2,51,49,10000,Xuất kho bán hàng ORD00029,2025-01-05
MOV00191,PROD0022,SALE,1,76,75,45000,Xuất kho bán hàng ORD00029,2025-01-05
MOV00192,PROD0083,SALE,2,56,54,12000,Xuất kho bán hàng ORD00030,2025-01-06
MOV00193,PROD0097,SALE,1,31,30,10000,Xuất kho bán hàng ORD00030,2025-01-06
MOV00194,PROD0060,SALE,2,36,34,10000,Xuất kho bán hàng ORD00031,2025-01-06
MOV00195,PROD0047,SALE,2,77,75,22000,Xuất kho bán hàng ORD00031,2025-01-06
MOV00196,PROD0046,SALE,3,66,63,173000,Xuất kho bán hàng ORD00032,2025-01-06
MOV00197,PROD0082,SALE,2,50,48,15000,Xuất kho bán hàng ORD00032,2025-01-06
MOV00198,PROD0033,SALE,1,61,60,15000,Xuất kho bán hàng ORD00032,2025-01-06
MOV00199,PROD0081,SALE,3,41,38,12000,Xuất kho bán hàng ORD00032,2025-01-06
MOV00200,PROD0041,SALE,3,66,63,20000,Xuất kho bán hàng ORD00033,2025-01-06
MOV00201,PROD0042,SALE,1,74,73,9000,Xuất kho bán hàng ORD00034,2025-01-06
MOV00202,PROD0091,SALE,1,40,39,16000,Xuất kho bán hàng ORD00034,2025-01-06
MOV00203,PROD0035,SALE,3,18,15,5000,Xuất kho bán hàng ORD00034,2025-01-06
MOV00204,PROD0086,SALE,1,52,51,22000,Xuất kho bán hàng ORD00035,2025-01-07
MOV00205,PROD0016,SALE,3,54,51,150000,Xuất kho bán hàng ORD00035,2025-01-07
MOV00206,PROD0028,SALE,3,86,83,5000,Xuất kho bán hàng ORD00035,2025-01-07
MOV00207,PROD0090,SALE,1,44,43,12000,Xuất kho bán hàng ORD00035,2025-01-07
MOV00208,PROD0005,SALE,3,38,35,25000,Xuất kho bán hàng ORD00036,2025-01-07
MOV00209,PROD0073,SALE,2,57,55,15000,Xuất kho bán hàng ORD00036,2025-01-07
MOV00210,PROD0021,SALE,3,64,61,45000,Xuất kho bán hàng ORD00036,2025-01-07
MOV00211,PROD0098,SALE,2,53,51,15000,Xuất kho bán hàng ORD00036,2025-01-07
MOV00212,PROD0066,SALE,1,61,60,25000,Xuất kho bán hàng ORD00037,2025-01-07
MOV00213,PROD0009,SALE,1,59,58,12000,Xuất kho bán hàng ORD00037,2025-01-07
MOV00214,PROD0042,SALE,3,73,70,9000,Xuất kho bán hàng ORD00037,2025-01-07
MOV00215,PROD0046,SALE,3,63,60,173000,Xuất kho bán hàng ORD00038,2025-01-07
MOV00216,PROD0001,SALE,3,33,30,30000,Xuất kho bán hàng ORD00038,2025-01-07
MOV00217,PROD0120,SALE,3,43,40,30000,Xuất kho bán hàng ORD00038,2025-01-07
MOV00218,PROD0078,SALE,2,52,50,12000,Xuất kho bán hàng ORD00038,2025-01-07
MOV00219,PROD0047,SALE,1,75,74,22000,Xuất kho bán hàng ORD00039,2025-01-07
MOV00220,PROD0112,SALE,1,60,59,12000,Xuất kho bán hàng ORD00039,2025-01-07
MOV00221,PROD0019,SALE,3,48,45,15000,Xuất kho bán hàng ORD00040,2025-01-07
MOV00222,PROD0024,SALE,2,46,44,12000,Xuất kho bán hàng ORD00040,2025-01-07
MOV00223,PROD0040,SALE,3,67,64,40000,Xuất kho bán hàng ORD00040,2025-01-07
MOV00224,PROD0083,SALE,2,54,52,12000,Xuất kho bán hàng ORD00041,2025-01-07
MOV00225,PROD0096,SALE,2,72,70,8000,Xuất kho bán hàng ORD00041,2025-01-07
MOV00226,PROD0035,SALE,2,15,13,5000,Xuất kho bán hàng ORD00041,2025-01-07
MOV00227,PROD0110,SALE,2,49,47,20000,Xuất kho bán hàng ORD00042,2025-01-08
MOV00228,PROD0047,SALE,1,74,73,22000,Xuất kho bán hàng ORD00042,2025-01-08
MOV00229,PROD0071,SALE,1,42,41,20000,Xuất kho bán hàng ORD00042,2025-01-08
MOV00230,PROD0021,SALE,2,61,59,45000,Xuất kho bán hàng ORD00043,2025-01-08
MOV00231,PROD0111,SALE,2,63,61,32000,Xuất kho bán hàng ORD00043,2025-01-08
MOV00232,PROD0070,SALE,3,49,46,22000,Xuất kho bán hàng ORD00043,2025-01-08
MOV00233,PROD0068,SALE,1,34,33,10000,Xuất kho bán hàng ORD00044,2025-01-08
MOV00234,PROD0069,SALE,3,81,78,15000,Xuất kho bán hàng ORD00044,2025-01-08
MOV00235,PROD0014,SALE,3,52,49,60000,Xuất kho bán hàng ORD00044,2025-01-08
MOV00236,PROD0017,SALE,1,57,56,50000,Xuất kho bán hàng ORD00044,2025-01-08
MOV00237,PROD0021,SALE,3,59,56,45000,Xuất kho bán hàng ORD00045,2025-01-08
MOV00238,PROD0054,SALE,1,54,53,25000,Xuất kho bán hàng ORD00045,2025-01-08
MOV00239,PROD0015,SALE,3,45,42,40000,Xuất kho bán hàng ORD00046,2025-01-08
MOV00240,PROD0016,SALE,1,51,50,150000,Xuất kho bán hàng ORD00046,2025-01-08
MOV00241,PROD0104,SALE,2,30,28,50000,Xuất kho bán hàng ORD00047,2025-01-08
MOV00242,PROD0047,SALE,1,73,72,22000,Xuất kho bán hàng ORD00047,2025-01-08
MOV00243,PROD0065,SALE,2,29,27,10000,Xuất kho bán hàng ORD00047,2025-01-08
MOV00244,PROD0048,SALE,2,44,42,50000,Xuất kho bán hàng ORD00048,2025-01-08
MOV00245,PROD0054,SALE,3,53,50,25000,Xuất kho bán hàng ORD00048,2025-01-08
MOV00246,PROD0079,SALE,2,42,40,30000,Xuất kho bán hàng ORD00048,2025-01-08
MOV00247,PROD0067,SALE,3,56,53,30000,Xuất kho bán hàng ORD00049,2025-01-08
MOV00248,PROD0026,SALE,2,42,40,5000,Xuất kho bán hàng ORD00049,2025-01-08
MOV00249,PROD0006,SALE,3,50,47,15000,Xuất kho bán hàng ORD00050,2025-01-09
MOV00250,PROD0113,SALE,2,49,47,10000,Xuất kho bán hàng ORD00050,2025-01-09
MOV00251,PROD0042,SALE,2,70,68,9000,Xuất kho bán hàng ORD00050,2025-01-09
MOV00252,PROD0093,SALE,2,44,42,24000,Xuất kho bán hàng ORD00051,2025-01-09
MOV00253,PROD0111,SALE,1,61,60,32000,Xuất kho bán hàng ORD00052,2025-01-09
MOV00254,PROD0037,SALE,1,63,62,60000,Xuất kho bán hàng ORD00052,2025-01-09
