order_id,order_code,customer_name,total_amount,payment_method,created_at,created_by
ORD00039,ORD00039,Khách lẻ 489,34000,Tiền mặt,2025-01-07,Nhân viên bán hàng
ORD00040,ORD00040,Khách lẻ 889,189000,Tiền mặt,2025-01-07,Nhân viên bán hàng
ORD00041,ORD00041,Khách lẻ 434,50000,Chuyển khoản,2025-01-07,Nhân viên bán hàng
ORD00042,ORD00042,Khách lẻ 115,82000,Ví điện tử,2025-01-08,Nhân viên bán hàng
ORD00043,ORD00043,Khách lẻ 746,220000,Tiền mặt,2025-01-08,Nhân viên bán hàng
ORD00044,ORD00044,Khách lẻ 527,285000,Ví điện tử,2025-01-08,Nhân viên bán hàng
ORD00045,ORD00045,Khách lẻ 896,160000,Tiền mặt,2025-01-08,Nhân viên bán hàng
ORD00046,ORD00046,Khách lẻ 169,270000,Tiền mặt,2025-01-08,Nhân viên bán hàng
ORD00047,ORD00047,Khách lẻ 841,142000,Tiền mặt,2025-01-08,Nhân viên bán hàng
ORD00048,ORD00048,Khách lẻ 716,235000,Ví điện tử,2025-01-08,Nhân viên bán hàng
ORD00049,ORD00049,Khách lẻ 997,100000,Chuyển khoản,2025-01-08,Nhân viên bán hàng
ORD00050,ORD00050,Khách lẻ 119,83000,Ví điện tử,2025-01-09,Nhân viên bán hàng
ORD00051,ORD00051,Khách lẻ 774,48000,Ví điện tử,2025-01-09,Nhân viên bán hàng
ORD00052,ORD00052,Khách lẻ 482,144000,Ví điện tử,2025-01-09,Nhân viên bán hàng
ORD00053,ORD00053,Khách lẻ 981,137000,Ví điện tử,2025-01-09,Nhân viên bán hàng
ORD00054,ORD00054,Khách lẻ 376,90000,Ví điện tử,2025-01-09,Nhân viên bán hàng
ORD00055,ORD00055,Khách lẻ 849,54000,Tiền mặt,2025-01-10,Nhân viên bán hàng
ORD00056,ORD00056,Khách lẻ 131,109000,Chuyển khoản,2025-01-10,Nhân viên bán hàng
ORD00057,ORD00057,Khách lẻ 457,213000,Chuyển khoản,2025-01-10,Nhân viên bán hàng
ORD00058,ORD00058,Khách lẻ 693,5000,Chuyển khoản,2025-01-10,Nhân viên bán hàng
ORD00059,ORD00059,Khách lẻ 194,65000,Tiền mặt,2025-01-10,Nhân viên bán hàng
ORD00060,ORD00060,Khách lẻ 318,245000,Chuyển khoản,2025-01-10,Nhân viên bán hàng
ORD00061,ORD00061,Khách lẻ 270,366000,Tiền mặt,2025-01-11,Nhân viên bán hàng
ORD00062,ORD00062,Khách lẻ 847,144000,Chuyển khoản,2025-01-11,Nhân viên bán hàng
ORD00063,ORD00063,Khách lẻ 618,161000,Chuyển khoản,2025-01-11,Nhân viên bán hàng
ORD00064,ORD00064,Khách lẻ 810,30000,Ví điện tử,2025-01-11,Nhân viên bán hàng
ORD00065,ORD00065,Khách lẻ 837,135000,Ví điện tử,2025-01-12,Nhân viên bán hàng
ORD00066,ORD00066,Khách lẻ 355,320000,Ví điện tử,2025-01-12,Nhân viên bán hàng
ORD00067,ORD00067,Khách lẻ 396,150000,Tiền mặt,2025-01-12,Nhân viên bán hàng
ORD00068,ORD00068,Khách lẻ 880,85000,Ví điện tử,2025-01-12,Nhân viên bán hàng
ORD00069,ORD00069,Khách lẻ 187,66000,Tiền mặt,2025-01-12,Nhân viên bán hàng
ORD00070,ORD00070,Khách lẻ 926,176000,Ví điện tử,2025-01-12,Nhân viên bán hàng
ORD00071,ORD00071,Khách lẻ 320,45000,Chuyển khoản,2025-01-13,Nhân viên bán hàng
ORD00072,ORD00072,Khách lẻ 308,63000,Chuyển khoản,2025-01-13,Nhân viên bán hàng
ORD00073,ORD00073,Khách lẻ 024,69000,Tiền mặt,2025-01-13,Nhân viên bán hàng
ORD00074,ORD00074,Khách lẻ 299,118000,Ví điện tử,2025-01-13,Nhân viên bán hàng
ORD00075,ORD00075,Khách lẻ 147,324000,Ví điện tử,2025-01-13,Nhân viên bán hàng
ORD00076,ORD00076,Khách lẻ 251,150000,Ví điện tử,2025-01-13,Nhân viên bán hàng
ORD00077,ORD00077,Khách lẻ 182,15000,Tiền mặt,2025-01-13,Nhân viên bán hàng
ORD00078,ORD00078,Khách lẻ 279,178000,Chuyển khoản,2025-01-13,Nhân viên bán hàng
ORD00079,ORD00079,Khách lẻ 109,170000,Chuyển khoản,2025-01-14,Nhân viên bán hàng
ORD00080,ORD00080,Khách lẻ 200,32000,Chuyển khoản,2025-01-14,Nhân viên bán hàng
ORD00081,ORD00081,Khách lẻ 107,174000,Ví điện tử,2025-01-14,Nhân viên bán hàng
ORD00082,ORD00082,Khách lẻ 345,175000,Tiền mặt,2025-01-14,Nhân viên bán hàng
ORD00083,ORD00083,Khách lẻ 323,324000,Ví điện tử,2025-01-14,Nhân viên bán hàng
ORD00084,ORD00084,Khách lẻ 129,314000,Ví điện tử,2025-01-14,Nhân viên bán hàng
ORD00085,ORD00085,Khách lẻ 371,100000,Chuyển khoản,2025-01-14,Nhân viên bán hàng
ORD00086,ORD00086,Khách lẻ 393,80000,Ví điện tử,2025-01-14,Nhân viên bán hàng
ORD00087,ORD00087,Khách lẻ 078,758000,Ví điện tử,2025-01-15,Nhân viên bán hàng
ORD00088,ORD00088,Khách lẻ 752,12000,Ví điện tử,2025-01-15,Nhân viên bán hàng
ORD00089,ORD00089,Khách lẻ 926,150000,Ví điện tử,2025-01-15,Nhân viên bán hàng
ORD00090,ORD00090,Khách lẻ 374,263000,Ví điện tử,2025-01-15,Nhân viên bán hàng
ORD00091,ORD00091,Khách lẻ 251,139000,Chuyển khoản,2025-01-15,Nhân viên bán hàng
ORD00092,ORD00092,Khách lẻ 886,197000,Ví điện tử,2025-01-15,Nhân viên bán hàng
ORD00093,ORD00093,Khách lẻ 896,388000,Tiền mặt,2025-01-16,Nhân viên bán hàng
ORD00094,ORD00094,Khách lẻ 002,300000,Chuyển khoản,2025-01-16,Nhân viên bán hàng
ORD00095,ORD00095,Khách lẻ 083,153000,Chuyển khoản,2025-01-16,Nhân viên bán hàng
ORD00096,ORD00096,Khách lẻ 493,99000,Chuyển khoản,2025-01-16,Nhân viên bán hàng
ORD00097,ORD00097,Khách lẻ 391,145000,Tiền mặt,2025-01-17,Nhân viên bán hàng
ORD00098,ORD00098,Khách lẻ 844,65000,Tiền mặt,2025-01-17,Nhân viên bán hàng
ORD00099,ORD00099,Khách lẻ 113,60000,Chuyển khoản,2025-01-17,Nhân viên bán hàng
ORD00100,ORD00100,Khách lẻ 885,60000,Chuyển khoản,2025-01-17,Nhân viên bán hàng
ORD00101,ORD00101,Khách lẻ 797,44000,Tiền mặt,2025-01-17,Nhân viên bán hàng
ORD00102,ORD00102,Khách lẻ 227,30000,Tiền mặt,2025-01-17,Nhân viên bán hàng
ORD00103,ORD00103,Khách lẻ 278,55000,Ví điện tử,2025-01-17,Nhân viên bán hàng
ORD00104,ORD00104,Khách lẻ 495,60000,Chuyển khoản,2025-01-18,Nhân viên bán hàng
ORD00105,ORD00105,Khách lẻ 624,72000,Tiền mặt,2025-01-18,Nhân viên bán hàng
ORD00106,ORD00106,Khách lẻ 892,15000,Chuyển khoản,2025-01-18,Nhân viên bán hàng
ORD00107,ORD00107,Khách lẻ 160,9000,Chuyển khoản,2025-01-18,Nhân viên bán hàng
ORD00108,ORD00108,Khách lẻ 737,150000,Chuyển khoản,2025-01-19,Nhân viên bán hàng
ORD00109,ORD00109,Khách lẻ 739,100000,Chuyển khoản,2025-01-19,Nhân viên bán hàng
ORD00110,ORD00110,Khách lẻ 974,24000,Ví điện tử,2025-01-19,Nhân viên bán hàng
ORD00111,ORD00111,Khách lẻ 829,10000,Ví điện tử,2025-01-19,Nhân viên bán hàng
ORD00112,ORD00112,Khách lẻ 897,23000,Ví điện tử,2025-01-19,Nhân viên bán hàng
ORD00113,ORD00113,Khách lẻ 699,95000,Tiền mặt,2025-01-20,Nhân viên bán hàng
ORD00114,ORD00114,Khách lẻ 899,110000,Chuyển khoản,2025-01-20,Nhân viên bán hàng
ORD00115,ORD00115,Khách lẻ 038,140000,Chuyển khoản,2025-01-20,Nhân viên bán hàng
ORD00116,ORD00116,Khách lẻ 288,270000,Ví điện tử,2025-01-20,Nhân viên bán hàng
ORD00117,ORD00117,Khách lẻ 409,70000,Chuyển khoản,2025-01-20,Nhân viên bán hàng
ORD00118,ORD00118,Khách lẻ 654,168000,Ví điện tử,2025-01-21,Nhân viên bán hàng
ORD00119,ORD00119,Khách lẻ 772,690000,Ví điện tử,2025-01-21,Nhân viên bán hàng
ORD00120,ORD00120,Khách lẻ 264,48000,Chuyển khoản,2025-01-21,Nhân viên bán hàng
ORD00121,ORD00121,Khách lẻ 425,36000,Tiền mặt,2025-01-21,Nhân viên bán hàng
ORD00122,ORD00122,Khách lẻ 517,280000,Ví điện tử,2025-01-21,Nhân viên bán hàng
ORD00123,ORD00123,Khách lẻ 195,24000,Chuyển khoản,2025-01-22,Nhân viên bán hàng
ORD00124,ORD00124,Khách lẻ 354,149000,Chuyển khoản,2025-01-22,Nhân viên bán hàng
ORD00125,ORD00125,Khách lẻ 564,80000,Tiền mặt,2025-01-22,Nhân viên bán hàng
ORD00126,ORD00126,Khách lẻ 308,80000,Ví điện tử,2025-01-22,Nhân viên bán hàng
ORD00127,ORD00127,Khách lẻ 261,230000,Ví điện tử,2025-01-22,Nhân viên bán hàng
ORD00128,ORD00128,Khách lẻ 002,24000,Tiền mặt,2025-01-23,Nhân viên bán hàng
ORD00129,ORD00129,Khách lẻ 344,95000,Ví điện tử,2025-01-23,Nhân viên bán hàng
ORD00130,ORD00130,Khách lẻ 053,168000,Tiền mặt,2025-01-23,Nhân viên bán hàng
ORD00131,ORD00131,Khách lẻ 312,35000,Chuyển khoản,2025-01-23,Nhân viên bán hàng
ORD00132,ORD00132,Khách lẻ 935,60000,Tiền mặt,2025-01-23,Nhân viên bán hàng
ORD00133,ORD00133,Khách lẻ 689,375000,Ví điện tử,2025-01-23,Nhân viên bán hàng
ORD00134,ORD00134,Khách lẻ 692,129000,Ví điện tử,2025-01-24,Nhân viên bán hàng
ORD00135,ORD00135,Khách lẻ 335,59000,Chuyển khoản,2025-01-24,Nhân viên bán hàng
ORD00136,ORD00136,Khách lẻ 334,44000,Tiền mặt,2025-01-24,Nhân viên bán hàng
ORD00137,ORD00137,Khách lẻ 705,24000,Chuyển khoản,2025-01-24,Nhân viên bán hàng
ORD00138,ORD00138,Khách lẻ 716,262000,Chuyển khoản,2025-01-24,Nhân viên bán hàng
ORD00139,ORD00139,Khách lẻ 977,112000,Chuyển khoản,2025-01-24,Nhân viên bán hàng
ORD00140,ORD00140,Khách lẻ 830,307000,Chuyển khoản,2025-01-25,Nhân viên bán hàng
ORD00141,ORD00141,Khách lẻ 597,324000,Ví điện tử,2025-01-25,Nhân viên bán hàng
ORD00142,ORD00142,Khách lẻ 441,180000,Chuyển khoản,2025-01-25,Nhân viên bán hàng
ORD00143,ORD00143,Khách lẻ 402,126000,Chuyển khoản,2025-01-25,Nhân viên bán hàng
ORD00144,ORD00144,Khách lẻ 018,150000,Ví điện tử,2025-01-25,Nhân viên bán hàng
ORD00145,ORD00145,Khách lẻ 555,136000,Ví điện tử,2025-01-25,Nhân viên bán hàng
ORD00146,ORD00146,Khách lẻ 968,344000,Tiền mặt,2025-01-26,Nhân viên bán hàng
ORD00147,ORD00147,Khách lẻ 985,194000,Tiền mặt,2025-01-26,Nhân viên bán hàng
ORD00148,ORD00148,Khách lẻ 739,8000,Ví điện tử,2025-01-26,Nhân viên bán hàng
ORD00149,ORD00149,Khách lẻ 814,250000,Chuyển khoản,2025-01-26,Nhân viên bán hàng
ORD00150,ORD00150,Khách lẻ 509,40000,Tiền mặt,2025-01-26,Nhân viên bán hàng
ORD00151,ORD00151,Khách lẻ 084,516000,Ví điện tử,2025-01-27,Nhân viên bán hàng
ORD00152,ORD00152,Khách lẻ 632,98000,Ví điện tử,2025-01-27,Nhân viên bán hàng
ORD00153,ORD00153,Khách lẻ 701,205000,Ví điện tử,2025-01-27,Nhân viên bán hàng
ORD00154,ORD00154,Khách lẻ 260,300000,Ví điện tử,2025-01-27,Nhân viên bán hàng
ORD00155,ORD00155,Khách lẻ 022,179000,Tiền mặt,2025-01-27,Nhân viên bán hàng
ORD00156,ORD00156,Khách lẻ 047,225000,Chuyển khoản,2025-01-27,Nhân viên bán hàng
ORD00157,ORD00157,Khách lẻ 079,25000,Ví điện tử,2025-01-27,Nhân viên bán hàng
ORD00158,ORD00158,Khách lẻ 602,60000,Chuyển khoản,2025-01-28,Nhân viên bán hàng
ORD00159,ORD00159,Khách lẻ 018,130000,Chuyển khoản,2025-01-28,Nhân viên bán hàng
ORD00160,ORD00160,Khách lẻ 489,142000,Chuyển khoản,2025-01-28,Nhân viên bán hàng
ORD00161,ORD00161,Khách lẻ 990,264000,Ví điện tử,2025-01-28,Nhân viên bán hàng
ORD00162,ORD00162,Khách lẻ 133,12000,Ví điện tử,2025-01-28,Nhân viên bán hàng
ORD00163,ORD00163,Khách lẻ 070,238000,Ví điện tử,2025-01-29,Nhân viên bán hàng
ORD00164,ORD00164,Khách lẻ 095,173000,Chuyển khoản,2025-01-29,Nhân viên bán hàng
ORD00165,ORD00165,Khách lẻ 461,180000,Tiền mặt,2025-01-29,Nhân viên bán hàng
ORD00166,ORD00166,Khách lẻ 865,132000,Tiền mặt,2025-01-29,Nhân viên bán hàng
ORD00167,ORD00167,Khách lẻ 069,271000,Chuyển khoản,2025-01-30,Nhân viên bán hàng
ORD00168,ORD00168,Khách lẻ 058,193000,Ví điện tử,2025-01-30,Nhân viên bán hàng
ORD00169,ORD00169,Khách lẻ 335,120000,Chuyển khoản,2025-01-30,Nhân viên bán hàng
ORD00170,ORD00170,Khách lẻ 198,125000,Ví điện tử,2025-01-30,Nhân viên bán hàng
ORD00171,ORD00171,Khách lẻ 670,83000,Tiền mặt,2025-01-30,Nhân viên bán hàng
ORD00172,ORD00172,Khách lẻ 478,58000,Tiền mặt,2025-01-31,Nhân viên bán hàng
ORD00173,ORD00173,Khách lẻ 832,5000,Tiền mặt,2025-01-31,Nhân viên bán hàng
ORD00174,ORD00174,Khách lẻ 197,81000,Tiền mặt,2025-01-31,Nhân viên bán hàng
ORD00175,ORD00175,Khách lẻ 323,240000,Ví điện tử,2025-01-31,Nhân viên bán hàng
ORD00176,ORD00176,Khách lẻ 961,60000,Chuyển khoản,2025-01-31,Nhân viên bán hàng
ORD00177,ORD00177,Khách lẻ 759,60000,Tiền mặt,2025-01-31,Nhân viên bán hàng
ORD00178,ORD00178,Khách lẻ 110,22000,Chuyển khoản,2025-01-31,Nhân viên bán hàng
ORD00179,ORD00179,Khách lẻ 641,194000,Tiền mặt,2025-01-31,Nhân viên bán hàng
ORD00180,ORD00180,Khách lẻ 679,125000,Ví điện tử,2025-02-01,Nhân viên bán hàng
ORD00181,ORD00181,Khách lẻ 771,134000,Chuyển khoản,2025-02-01,Nhân viên bán hàng
ORD00182,ORD00182,Khách lẻ 325,64000,Tiền mặt,2025-02-01,Nhân viên bán hàng
ORD00183,ORD00183,Khách lẻ 718,103000,Ví điện tử,2025-02-01,Nhân viên bán hàng
ORD00184,ORD00184,Khách lẻ 383,50000,Ví điện tử,2025-02-01,Nhân viên bán hàng
ORD00185,ORD00185,Khách lẻ 463,100000,Tiền mặt,2025-02-01,Nhân viên bán hàng
ORD00186,ORD00186,Khách lẻ 973,80000,Ví điện tử,2025-02-01,Nhân viên bán hàng
ORD00187,ORD00187,Khách lẻ 153,369000,Tiền mặt,2025-02-01,Nhân viên bán hàng
ORD00188,ORD00188,Khách lẻ 463,63000,Chuyển khoản,2025-02-02,Nhân viên bán hàng
ORD00189,ORD00189,Khách lẻ 557,129000,Chuyển khoản,2025-02-02,Nhân viên bán hàng
ORD00190,ORD00190,Khách lẻ 770,52000,Tiền mặt,2025-02-02,Nhân viên bán hàng
ORD00191,ORD00191,Khách lẻ 082,48000,Tiền mặt,2025-02-02,Nhân viên bán hàng
ORD00192,ORD00192,Khách lẻ 004,346000,Ví điện tử,2025-02-02,Nhân viên bán hàng
ORD00193,ORD00193,Khách lẻ 423,20000,Chuyển khoản,2025-02-02,Nhân viên bán hàng
ORD00194,ORD00194,Khách lẻ 742,105000,Tiền mặt,2025-02-02,Nhân viên bán hàng
ORD00195,ORD00195,Khách lẻ 004,61000,Chuyển khoản,2025-02-03,Nhân viên bán hàng
ORD00196,ORD00196,Khách lẻ 475,220000,Tiền mặt,2025-02-03,Nhân viên bán hàng
ORD00197,ORD00197,Khách lẻ 462,16000,Ví điện tử,2025-02-03,Nhân viên bán hàng
ORD00198,ORD00198,Khách lẻ 834,62000,Chuyển khoản,2025-02-03,Nhân viên bán hàng
ORD00199,ORD00199,Khách lẻ 203,147000,Ví điện tử,2025-02-04,Nhân viên bán hàng
ORD00200,ORD00200,Khách lẻ 770,71000,Chuyển khoản,2025-02-04,Nhân viên bán hàng
ORD00201,ORD00201,Khách lẻ 553,86000,Ví điện tử,2025-02-04,Nhân viên bán hàng
ORD00202,ORD00202,Khách lẻ 258,378000,Chuyển khoản,2025-02-04,Nhân viên bán hàng
ORD00203,ORD00203,Khách lẻ 779,210000,Ví điện tử,2025-02-04,Nhân viên bán hàng
ORD00204,ORD00204,Khách lẻ 098,50000,Tiền mặt,2025-02-05,Nhân viên bán hàng
ORD00205,ORD00205,Khách lẻ 868,54000,Tiền mặt,2025-02-05,Nhân viên bán hàng
ORD00206,ORD00206,Khách lẻ 351,110000,Tiền mặt,2025-02-05,Nhân viên bán hàng
ORD00207,ORD00207,Khách lẻ 493,168000,Tiền mặt,2025-02-05,Nhân viên bán hàng
ORD00208,ORD00208,Khách lẻ 118,50000,Chuyển khoản,2025-02-05,Nhân viên bán hàng
ORD00209,ORD00209,Khách lẻ 374,60000,Chuyển khoản,2025-02-05,Nhân viên bán hàng
ORD00210,ORD00210,Khách lẻ 607,653000,Ví điện tử,2025-02-06,Nhân viên bán hàng
ORD00211,ORD00211,Khách lẻ 287,84000,Chuyển khoản,2025-02-06,Nhân viên bán hàng
ORD00212,ORD00212,Khách lẻ 593,120000,Tiền mặt,2025-02-06,Nhân viên bán hàng
ORD00213,ORD00213,Khách lẻ 830,498000,Tiền mặt,2025-02-06,Nhân viên bán hàng
ORD00214,ORD00214,Khách lẻ 388,179000,Ví điện tử,2025-02-06,Nhân viên bán hàng
ORD00215,ORD00215,Khách lẻ 989,213000,Chuyển khoản,2025-02-07,Nhân viên bán hàng
ORD00216,ORD00216,Khách lẻ 464,45000,Ví điện tử,2025-02-07,Nhân viên bán hàng
ORD00217,ORD00217,Khách lẻ 876,167000,Ví điện tử,2025-02-07,Nhân viên bán hàng
ORD00218,ORD00218,Khách lẻ 474,154000,Tiền mặt,2025-02-07,Nhân viên bán hàng
ORD00219,ORD00219,Khách lẻ 497,126000,Tiền mặt,2025-02-07,Nhân viên bán hàng
ORD00220,ORD00220,Khách lẻ 105,250000,Tiền mặt,2025-02-08,Nhân viên bán hàng
ORD00221,ORD00221,Khách lẻ 924,126000,Chuyển khoản,2025-02-08,Nhân viên bán hàng
ORD00222,ORD00222,Khách lẻ 787,144000,Ví điện tử,2025-02-08,Nhân viên bán hàng
ORD00223,ORD00223,Khách lẻ 958,60000,Tiền mặt,2025-02-08,Nhân viên bán hàng
ORD00224,ORD00224,Khách lẻ 933,243000,Tiền mặt,2025-02-08,Nhân viên bán hàng
ORD00225,ORD00225,Khách lẻ 297,238000,Ví điện tử,2025-02-08,Nhân viên bán hàng
ORD00226,ORD00226,Khách lẻ 463,5000,Tiền mặt,2025-02-08,Nhân viên bán hàng
ORD00227,ORD00227,Khách lẻ 469,75000,Chuyển khoản,2025-02-08,Nhân viên bán hàng
ORD00228,ORD00228,Khách lẻ 978,61000,Chuyển khoản,2025-02-09,Nhân viên bán hàng
ORD00229,ORD00229,Khách lẻ 813,134000,Tiền mặt,2025-02-09,Nhân viên bán hàng
ORD00230,ORD00230,Khách lẻ 451,50000,Ví điện tử,2025-02-09,Nhân viên bán hàng
ORD00231,ORD00231,Khách lẻ 726,54000,Tiền mặt,2025-02-09,Nhân viên bán hàng
ORD00232,ORD00232,Khách lẻ 047,75000,Ví điện tử,2025-02-10,Nhân viên bán hàng
ORD00233,ORD00233,Khách lẻ 249,257000,Chuyển khoản,2025-02-10,Nhân viên bán hàng
ORD00234,ORD00234,Khách lẻ 185,180000,Tiền mặt,2025-02-10,Nhân viên bán hàng
ORD00235,ORD00235,Khách lẻ 139,30000,Ví điện tử,2025-02-10,Nhân viên bán hàng
ORD00236,ORD00236,Khách lẻ 070,290000,Ví điện tử,2025-02-11,Nhân viên bán hàng
ORD00237,ORD00237,Khách lẻ 430,184000,Ví điện tử,2025-02-11,Nhân viên bán hàng
ORD00238,ORD00238,Khách lẻ 258,131000,Chuyển khoản,2025-02-11,Nhân viên bán hàng
ORD00239,ORD00239,Khách lẻ 665,112000,Chuyển khoản,2025-02-11,Nhân viên bán hàng
ORD00240,ORD00240,Khách lẻ 204,85000,Tiền mặt,2025-02-11,Nhân viên bán hàng
ORD00241,ORD00241,Khách lẻ 393,240000,Tiền mặt,2025-02-11,Nhân viên bán hàng
ORD00242,ORD00242,Khách lẻ 153,96000,Tiền mặt,2025-02-11,Nhân viên bán hàng
ORD00243,ORD00243,Khách lẻ 946,377000,Tiền mặt,2025-02-12,Nhân viên bán hàng
ORD00244,ORD00244,Khách lẻ 587,150000,Tiền mặt,2025-02-12,Nhân viên bán hàng
ORD00245,ORD00245,Khách lẻ 595,116000,Ví điện tử,2025-02-12,Nhân viên bán hàng
ORD00246,ORD00246,Khách lẻ 207,184000,Chuyển khoản,2025-02-12,Nhân viên bán hàng
ORD00247,ORD00247,Khách lẻ 458,184000,Tiền mặt,2025-02-12,Nhân viên bán hàng
ORD00248,ORD00248,Khách lẻ 660,30000,Ví điện tử,2025-02-12,Nhân viên bán hàng
ORD00249,ORD00249,Khách lẻ 128,83000,Ví điện tử,2025-02-13,Nhân viên bán hàng
ORD00250,ORD00250,Khách lẻ 425,84000,Chuyển khoản,2025-02-13,Nhân viên bán hàng
ORD00251,ORD00251,Khách lẻ 028,260000,Ví điện tử,2025-02-13,Nhân viên bán hàng
ORD00252,ORD00252,Khách lẻ 857,240000,Ví điện tử,2025-02-13,Nhân viên bán hàng
ORD00253,ORD00253,Khách lẻ 993,218000,Ví điện tử,2025-02-13,Nhân viên bán hàng
ORD00254,ORD00254,Khách lẻ 892,280000,Ví điện tử,2025-02-13,Nhân viên bán hàng
ORD00255,ORD00255,Khách lẻ 146,27000,Tiền mặt,2025-02-13,Nhân viên bán hàng
ORD00256,ORD00256,Khách lẻ 923,20000,Ví điện tử,2025-02-14,Nhân viên bán hàng
ORD00257,ORD00257,Khách lẻ 234,259000,Chuyển khoản,2025-02-14,Nhân viên bán hàng
ORD00258,ORD00258,Khách lẻ 675,270000,Ví điện tử,2025-02-14,Nhân viên bán hàng
ORD00259,ORD00259,Khách lẻ 606,25000,Chuyển khoản,2025-02-14,Nhân viên bán hàng
ORD00260,ORD00260,Khách lẻ 932,51000,Tiền mặt,2025-02-14,Nhân viên bán hàng
ORD00261,ORD00261,Khách lẻ 011,135000,Ví điện tử,2025-02-15,Nhân viên bán hàng
ORD00262,ORD00262,Khách lẻ 254,33000,Tiền mặt,2025-02-15,Nhân viên bán hàng
ORD00263,ORD00263,Khách lẻ 451,415000,Ví điện tử,2025-02-15,Nhân viên bán hàng
ORD00264,ORD00264,Khách lẻ 340,81000,Ví điện tử,2025-02-15,Nhân viên bán hàng
ORD00265,ORD00265,Khách lẻ 789,18000,Chuyển khoản,2025-02-16,Nhân viên bán hàng
ORD00266,ORD00266,Khách lẻ 529,24000,Ví điện tử,2025-02-16,Nhân viên bán hàng
